text,start,duration,time_midpoint,vader,textblob,llama3,vader_norm,textblob_norm,llama3_norm
should not be pronounced know your honor,110.399,4.481,112.6395,0.4939,0.0,-0.7,-0.03109065108931151,-0.018033865341043797,0.017038222670862403
yes i have something to say,112.479,4.481,114.7195,0.4019,0.0,0.7,-0.030804843729614412,-0.018587054695876175,0.01656103404420189
you can put me away but you can't put,114.88,3.599,116.6795,0.0,0.0,0.7,-0.03054018907858802,-0.01908111328199233,0.01612144018256439
away what's going to happen to you and,116.96,2.88,118.4,0.0,0.0,-0.7,-0.030311587138256626,-0.019493291388899544,0.015743491396370837
to this whole country,118.479,4.161,120.5595,0.0,0.2,0.4,-0.030029547621731514,-0.019982520887090155,0.015279437969753614
next time next time we are going to say,119.84,5.12,122.4,0.0,0.0,0.4,-0.029793450635606348,-0.020375069297700513,0.014892874798073785
it is the judgment of this court that,126.56,3.36,128.24,0.0,0.0,0.2,-0.029070183609082086,-0.021474993645660283,0.013719319140820165
the defendant john hubermann,128.08,3.76,129.96,0.0,0.0,0.2,-0.028864615466686554,-0.02175757387340804,0.013388656351616124
having been found guilty of the crime of,129.92,3.76,131.79999999999998,-0.743,-0.5,-0.7,-0.02864843056797952,-0.022039459030155337,0.013042265699721396
treason against the united states,131.84,3.44,133.56,-0.0258,0.0,-0.9,-0.028445233413022224,-0.022289581954815143,0.012717926652946264
by the jury of this court for the,133.68,4.24,135.8,0.0,0.0,0.2,-0.028191670262081255,-0.02258070118300358,0.012314846903781566
southern district of florida at miami,135.28,4.08,137.32,0.0,0.0,-0.7,-0.028022817705931683,-0.022761105001050774,0.012047422406255066
be committed to the custody of the,137.92,3.28,139.55999999999997,0.2732,0.0,0.4,-0.027778687860408432,-0.02300205547092196,0.011662138432537935
united states attorney general,139.36,4.08,141.4,0.4215,0.05,0.4,-0.02758232826299234,-0.02317807164537991,0.011353375126662627
for imprisonment in an institution of,141.2,4.56,143.48,0.0,0.0,-0.7,-0.027364869547115006,-0.023353603735907617,0.01101255882746519
the penitentiary type for a period of 20,143.44,3.84,145.36,0.0,0.0,0.2,-0.02717242194803308,-0.023491154703545042,0.010711878032771313
and the defendant may be fought with,147.28,3.44,149.0,-0.3182,0.0,0.5,-0.02681081313030732,-0.023701588967053575,0.010149086255463282
remanded to the custody of the united,148.959,2.64,150.279,0.4215,0.0,-0.7,-0.02668717951781186,-0.023758329532926392,0.009957263633208093
states marshall,150.72,7.12,154.28,0.0,0.0,0.4,-0.026311847032177597,-0.023879387953214443,0.009376486841171521
what is now again here she comes,151.599,6.241,154.71949999999998,0.0,0.0,0.6,-0.026271667880119986,-0.023887549989833917,0.009314435277228299
we'd like a statement from you ms,162.319,3.28,163.95899999999995,0.3612,0.0,0.4,-0.025474575228514408,-0.023832342278802862,0.00808591857091461
huberman about your father for instance,163.599,3.121,165.15949999999998,0.0,0.0,0.4,-0.02537761649873189,-0.023794337249782582,0.007936498154059208
do you think your father got what he,165.599,1.761,166.4795,0.0,0.0,0.3,-0.02527274334426982,-0.023744637986233982,0.007774784544084845
could we say that you're pleased your,167.36,2.239,168.4795,0.4404,0.5,-0.7,-0.025117298059859856,-0.023653757140626303,0.007534815630425774
father is going to pay the penalty for,168.48,4.0,170.48,-0.5267,0.0,-0.7,-0.02496595744520962,-0.02354437432764675,0.007300736202007189
being a german worker,169.599,2.881,171.03949999999998,0.0,0.0,0.4,-0.02492436918689726,-0.0235105204970816,0.007236312291889239
let us know if she tries to leave town,172.8,13.04,179.32000000000002,-0.0516,-0.1,0.4,-0.024346271728742243,-0.022848347712963776,0.0063335816320285645
would you care to pause for some,188.159,3.44,189.879,0.4939,0.0,0.2,-0.023709040436439927,-0.02159302088965083,0.005307703756932913
refreshments mister hop kids,189.44,4.079,191.4795,0.0,0.0,0.6,-0.02362205245263717,-0.021365318852979886,0.005163157621663866
alicia were you really followed by a,191.599,4.161,193.6795,0.0,0.2,0.4,-0.023506553429922535,-0.021037087280170272,0.004968782077168878
policeman it sounds very exciting i'm,193.519,3.281,195.1595,0.5413,0.39,0.7,-0.02343149394232855,-0.02080655124826264,0.004840736001627252
going to shoot it out with him,195.76,3.36,197.44,-0.34,0.0,0.7,-0.023319970515632452,-0.020436366564985303,0.004647541495547568
no thanks have enough serve you don't be,196.8,3.84,198.72,-0.3412,-0.05,-0.7,-0.023259561449278647,-0.020220801275529922,0.0045412137050999885
silly the important drinking hasn't,199.12,2.32,200.28,0.2263,-0.0499999999999999,0.2,-0.02318805377711767,-0.01995066884379816,0.004413602275401111
started yet,200.64,2.56,201.92,0.0,0.0,0.2,-0.023115375015806936,-0.019658067671524667,0.004281709950912052
everybody down here's got a stuffed fish,201.44,3.76,203.32,0.0,-0.1555555555555555,0.2,-0.023055347701281214,-0.019401435809733684,0.004170890406116756
hanging on the wall where'd they get it,203.2,4.01,205.205,0.0,0.0,0.4,-0.022977444225542314,-0.01904614559557695,0.004024157480685255
never seen a fish how about you handsome,205.2,3.2,206.8,0.4939,0.5,0.4,-0.022914130497908917,-0.018736961641908096,0.003902131245121192
haven't i seen you somewhere before well,208.4,4.399,210.5995,0.2732,0.0,0.2,-0.022772860867115708,-0.01796990147436197,0.0036188350946141394
