text,start,duration,time_midpoint,vader,textblob,llama3,vader_norm,textblob_norm,llama3_norm
he gave his love and he fought for his,49.98,8.94,54.45,0.4404,0.5,0.6,0.00541913167321908,0.15923133763252584,-0.16994040925147222
land wouldn't you wanna do like Jim,54.539,6.141,57.6095,0.3612,0.0,0.8,0.005919785327898404,0.15584930550915285,-0.16914169215061864
as a friend they liked him straight from,60.68,6.36,63.86,0.7845,0.4,0.4,0.0068887651133336895,0.14953222693026041,-0.16763805724165534
all the way down to the Alamo,67.08,5.78,69.97,0.0,-0.1555555555555555,0.7,0.007808368079964116,0.1438262161049546,-0.16626493601377246
the end my friend you know the real,72.92,10.36,78.1,0.4939,0.2,0.6,0.008989645604755223,0.13693112884296132,-0.1645830933292138
in the 1830s that part of the young,96.9,4.74,99.27,0.0,0.1,0.2,0.011838255914205007,0.12251225524575736,-0.16095391729905464
Mexican Republic north of the Rio Grande,99.42,5.339,102.0895,0.0,0.0,0.4,0.01219280747734859,0.12095755626363908,-0.16054961609194918
an area of more than 300 000 square,101.64,6.54,104.91,0.0,0.5,0.4,0.012541634716947364,0.1194844043076246,-0.1601632196162611
miles was a province known as Texas an,104.759,6.121,107.8195,0.0,0.0,0.2,0.012895335201158894,0.11804950457567055,-0.1597833639593883
almost Limitless land populated by,108.18,4.68,110.52,0.0,0.0,0.8,0.013218051431030298,0.11679351398192546,-0.15944765588608883
tribes of Native Indians and a,110.88,4.199,112.9795,0.0,0.0,0.4,0.013507293906290713,0.11571220211108367,-0.15915590169876656
scattering of Mexican citizens,112.86,4.56,115.14,0.0,0.0,-0.7,0.013757695987511047,0.11481090421542814,-0.15891052957175467
from the north and east had come others,115.079,4.981,117.5695,0.0,0.0,0.4,0.014035165212222962,0.1138509194602004,-0.15864669943852247
settlers who took up lands granted them,117.42,4.8,119.82,0.25,0.0,0.2,0.014288307852882053,0.11301156568633045,-0.15841363758480748
by The Mexican government in an effort,120.06,3.96,122.04,0.0,0.0,0.6,0.014534359184075621,0.1122299827369347,-0.15819432323955318
to speed the development of the new,122.22,2.999,123.7195,0.0,0.1363636363636363,0.6,0.014718088320652035,0.11166893875362419,-0.15803534145611703
but like to all new people in a new raw,125.219,6.861,128.6495,0.5023,0.0139860139860139,0.4,0.015245377674337158,0.1101699169904929,-0.1576028122377725
land problems arose,128.22,3.86,130.15,-0.4019,0.0,-0.7,0.015402300500991794,0.10975674318998786,-0.15748117876984097
guys again are you done in any,225.56,5.56,228.34,0.0,0.0,0.2,0.022034961908823116,0.11704811152451808,-0.15837569393697715
satisfactions it's foolishness I can,228.36,4.439,230.5795,0.0772,0.0,-0.8,0.022102222587049712,0.11779354156874158,-0.15857037560781365
and your fools if you think you can take,231.12,3.539,232.8895,-0.4939,0.0,0.2,0.022167652745256075,0.11857962522480922,-0.15877795614167522
